Station Code,Station Name,District,State,Trains passing through
ATDA,Atladara,Vadodara,Gujarat,0
ATE,Atarra,Banda,Uttar Pradesh,20
ATG,Atgaon,Thane,Maharashtra,0
ATH,Antah,Baran,Rajasthan,10
ATKS,Atwa Kursath,Hardoi,Uttar Pradesh,0
ATL,Athmal Gola,Patna,Bihar,16
ATM,Altagram,Jalpaiguri,West Bengal,0
ATMO,Aithal,Haridwar,Uttarakhand,4
ATNR,Awatar Nagar,Saran,Bihar,2
ATP,Anantapur,Anantapur,Andhra Pradesh,73
ATPA,Awantipura,#N/A,,0
ATQ,Arantangi,Pudukkottai,Tamil Nadu,2
ATR,Attar,Khandwa,Madhya Pradesh,0
ATRR,Atraura,Bhadohi,Uttar Pradesh,1
ATRU,Atru,Baran,Rajasthan,6
ATS,Attabira,Bargarh,Odisha,6
ATT,Atari,Amritsar,Punjab,6
ATU,Attur,Salem,Tamil Nadu,6
ATUL,Atul,Valsad,Gujarat,2
ATW,Atwa Muthia Halt,Hardoi,Uttar Pradesh,0
ATX,Alinagar Tola,Purnia,Bihar,0
AUB,Aluabari Road,Uttar Dinajpur,West Bengal,26
AUBR,Anugraha Narayan Road,Aurangabad,Bihar,43
AUI,Aurahi,Purnia,Bihar,0
AUL,Agsauli,Hathras,Uttar Pradesh,2
AUN,Aurang Nagar,Bhiwani,Haryana,0
AUNG,Aung,Fatehpur,Uttar Pradesh,2
AUR,Atrauli Road,Aligarh,Uttar Pradesh,0
AUS,Anupshahr,Hanumangarh,Rajasthan,4
AUWA,Auwa,Pali,Rajasthan,0
AV,Asvali,Nashik,Maharashtra,0
AVA,Ambewadi,Belagavi,Karnataka,0
AVBH,Ibh Between Ab,#N/A,,0
AVC,Amravathi Colony,Davanagere,Karnataka,0
AVCD,Avcd,#N/A,,0
AVD,Avadi,Thiruvallur,Tamil Nadu,3
AVH,Avidha,Bharuch,Gujarat,0
AVK,Aravankadu,Nilgiris,Tamil Nadu,2
AVL,Amritvel,Bhavnagar,Gujarat,0
AVLI,Aravalli,West Godavari,Andhra Pradesh,0
AVN,Anavardikhanpet,Vellore,Tamil Nadu,6
AVP,Abhanpur Junction,Raipur,Chhatisgarh,0
AVRD,Aravali Road,Ratnagiri,Maharashtra,16
AVS,Auvaneswsarem,Kollam,Kerala,4
AVT,Avati,Bangalore Rural,Karnataka,2
AWB,Aurangabad,Aurangabad,Maharashtra,52
AWG,Awa Garh,Etah,Uttar Pradesh,0
AWH,Alewahi,Chandrapur,Maharashtra,0
AWL,Alawalpur,Jalandhar,Punjab,0
AWM,Aswapuram,Bhadradri Kothagudem,Telangana,0
AWP,Aghwanpur,Moradabad,Uttar Pradesh,0
AWPR,Awapur,Sitamarhi,Bihar,0
AWR,Alwar,Alwar,Rajasthan,68
AWS,Aswani Halt,Pashchim Champaran,Bihar,0
AWT,Alwar Tirunagri,Thoothukkudi,Tamil Nadu,0
AWY,Aluva,Ernakulam,Kerala,124
AWZ,Ahiwara,Durg,Chhatisgarh,0
AXA,Amarsar,Rajkot,Gujarat,0
AXK,Asokhar,Bhind,Madhya Pradesh,0
AXM,Xxx,#N/A,,0
AXR,Alluru Road,Sri Potti Sriramulu Nellore,Andhra Pradesh,0
AY,Ayodhya,Ayodhya,Uttar Pradesh,46
AYB,Aliyabad,Vijayapura,Karnataka,0
AYD,Ayandur,Viluppuram,Tamil Nadu,0
AYI,Ayingudi,Pudukkottai,Tamil Nadu,2
AYM,Adiyakkamangalam,Thiruvarur,Tamil Nadu,0
AYN,Aiyanapuram,Thanjavur,Tamil Nadu,0
AYR,Ayyalur,Dindigul,Tamil Nadu,0
AYRN,Akshaywat Rai Nagar,Vaishali,Bihar,8
AYS,Adharsatra,Golaghat,Assam,0
AYU,Abhayapuri Assam,Bongaigaon,Assam,2
AYV,Aryankavu,Kollam,Kerala,2
AYVN,New Aryankavu,Kollam,Kerala,2
AZ,Azimganj Jn,Murshidabad,West Bengal,35
AZA,Azara,Kamrup Metropolitan,Assam,2
AZK,Azhwarkurichi,Tirunelveli,Tamil Nadu,0
AZP,Ayyampet,Thanjavur,Tamil Nadu,0
AZR,Azamnagar Road,Katihar,Bihar,16
BA,Bandra,Mumbai Suburban,Maharashtra,2
BAA,Barala,Murshidabad,West Bengal,2
BAAR,Bandar P H,Purba Medinipur,West Bengal,2
BAB,Babina,Jhansi,Uttar Pradesh,23
BABR,Balanagar,Ranga Reddy,Telangana,0
BAC,Bargachia,Howrah,West Bengal,0
BAD,Baad,Mathura,Uttar Pradesh,0
BADH,Barhauna Halt,Nalanda,Bihar,0
BADK,Barka,Baghpat,Uttar Pradesh,0
BADR,Bhader,Amreli,Gujarat,0
BAE,Baliakheri,Saharanpur,Uttar Pradesh,1
BAF,Bap,Jodhpur,Rajasthan,2
BAG,Bagasara,Amreli,Gujarat,0
BAGA,Bhagega,Sikar,Rajasthan,0
BAGD,Bagwada,Valsad,Gujarat,0
BAGJ,Barharagani,Kushinagar,Uttar Pradesh,0
BAGL,Baragopal,Saran,Bihar,2
BAH,Bhabhar,Banas Kantha,Gujarat,4
BAHI,Ballenahalli,Chitradurga,Karnataka,0
BAHL,Banihal,#N/A,,0
BAHN,Babhabgaon Halt,Katihar,Bihar,0
BAHP,Band Hamirpur,Unnao,Uttar Pradesh,0
